Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company_Name,Sector
2020-09-14 00:00:00-04:00,196.5463269216626,199.50394316203142,196.3433466069314,198.1217803955078,11730500,0.0,0.0,Visa Inc.,Financial Services
2020-09-15 00:00:00-04:00,199.8325795131942,201.2437374708177,197.91883028146876,198.51808166503906,6328600,0.0,0.0,Visa Inc.,Financial Services
2020-09-16 00:00:00-04:00,199.82291803085846,200.79912023743995,198.0927994217715,198.26678466796875,6135000,0.0,0.0,Visa Inc.,Financial Services
2020-09-17 00:00:00-04:00,196.0630544346219,198.70171001672543,195.2414878192465,198.40208435058594,7474900,0.0,0.0,Visa Inc.,Financial Services
2020-09-18 00:00:00-04:00,198.59538058191902,198.8370160754242,194.97084817934092,195.83106994628906,9084100,0.0,0.0,Visa Inc.,Financial Services
2020-09-21 00:00:00-04:00,193.22140389922453,194.51656656684506,188.18571387302998,190.8437042236328,9656000,0.0,0.0,Visa Inc.,Financial Services
2020-09-22 00:00:00-04:00,191.46229530550923,193.99464529582912,190.2154626533929,193.8496551513672,7543100,0.0,0.0,Visa Inc.,Financial Services
2020-09-23 00:00:00-04:00,194.08164391659258,194.3619346179972,188.06009115753974,188.83331298828125,6310600,0.0,0.0,Visa Inc.,Financial Services
2020-09-24 00:00:00-04:00,188.62065619180726,191.0563460424043,186.6682520658756,188.97828674316406,9865300,0.0,0.0,Visa Inc.,Financial Services
2020-09-25 00:00:00-04:00,188.49503648046672,191.51064298517946,187.03554853245248,190.65042114257812,5496100,0.0,0.0,Visa Inc.,Financial Services
2020-09-28 00:00:00-04:00,193.9173014032461,194.97082850905778,193.14406495238796,193.61767578125,5565300,0.0,0.0,Visa Inc.,Financial Services
2020-09-29 00:00:00-04:00,193.86902358380016,195.60880237982428,192.69950110894814,192.7671661376953,5513500,0.0,0.0,Visa Inc.,Financial Services
2020-09-30 00:00:00-04:00,194.12998068647744,195.76342439647055,192.2355517397723,193.2794189453125,9157600,0.0,0.0,Visa Inc.,Financial Services
2020-10-01 00:00:00-04:00,195.4444835438741,198.3344349694015,194.89354747048878,196.5463409423828,7234600,0.0,0.0,Visa Inc.,Financial Services
2020-10-02 00:00:00-04:00,193.3083857518089,196.04370117998815,192.72845469524972,194.71954345703125,6019700,0.0,0.0,Visa Inc.,Financial Services
2020-10-05 00:00:00-04:00,195.92773307877363,196.83627015989194,194.32326983745648,196.72994995117188,6090500,0.0,0.0,Visa Inc.,Financial Services
2020-10-06 00:00:00-04:00,197.28091007847672,198.23779207392067,193.02813070636125,193.7433624267578,5841100,0.0,0.0,Visa Inc.,Financial Services
2020-10-07 00:00:00-04:00,195.24150954316784,196.0050713338289,193.29876517837513,195.69578552246094,6713400,0.0,0.0,Visa Inc.,Financial Services
2020-10-08 00:00:00-04:00,197.17455181534714,197.46451734119805,195.46376848626022,196.1886749267578,3955600,0.0,0.0,Visa Inc.,Financial Services
2020-10-09 00:00:00-04:00,197.1745717271267,200.15152291319032,196.86527120211508,199.7262420654297,5562900,0.0,0.0,Visa Inc.,Financial Services
2020-10-12 00:00:00-04:00,200.01621893251198,201.01175608777223,198.84669653502775,199.49427795410156,6622700,0.0,0.0,Visa Inc.,Financial Services
2020-10-13 00:00:00-04:00,196.57533479529863,198.34410858809534,196.23703916481801,197.48388671875,5621700,0.0,0.0,Visa Inc.,Financial Services
2020-10-14 00:00:00-04:00,197.86081372597562,198.11210932951076,194.4005916938253,195.43478393554688,5320000,0.0,0.0,Visa Inc.,Financial Services
2020-10-15 00:00:00-04:00,194.2846019219081,197.85114425816542,190.98870491378756,192.8734588623047,8885500,0.0,0.0,Visa Inc.,Financial Services
2020-10-16 00:00:00-04:00,193.29873666591178,195.8697271343598,192.73814054546904,193.5596923828125,6385900,0.0,0.0,Visa Inc.,Financial Services
2020-10-19 00:00:00-04:00,194.12994806355874,194.34258846311644,189.92548486570143,190.3797607421875,7449600,0.0,0.0,Visa Inc.,Financial Services
2020-10-20 00:00:00-04:00,190.94038225984534,192.9797865467867,190.12849048876961,191.08535766601562,7427000,0.0,0.0,Visa Inc.,Financial Services
2020-10-21 00:00:00-04:00,191.21105335285174,193.71439421806096,191.21105335285174,191.7909698486328,6067200,0.0,0.0,Visa Inc.,Financial Services
2020-10-22 00:00:00-04:00,192.6704845112191,193.08610525276308,189.21026227778842,191.36566162109375,4908200,0.0,0.0,Visa Inc.,Financial Services
2020-10-23 00:00:00-04:00,193.06679845074083,193.19245365228062,189.4616002862807,191.385009765625,5877200,0.0,0.0,Visa Inc.,Financial Services
2020-10-26 00:00:00-04:00,189.4422208235241,189.84816666978335,184.33888054446544,186.61026000976562,12608700,0.0,0.0,Visa Inc.,Financial Services
2020-10-27 00:00:00-04:00,186.54259390746716,187.2191703139563,182.88906656416614,183.70095825195312,8690400,0.0,0.0,Visa Inc.,Financial Services
2020-10-28 00:00:00-04:00,177.82436616596843,178.52027748069565,173.33961255342552,174.81842041015625,17809500,0.0,0.0,Visa Inc.,Financial Services
2020-10-29 00:00:00-04:00,176.87718725548135,180.74335528292357,173.33963997078916,178.6846160888672,16820900,0.0,0.0,Visa Inc.,Financial Services
2020-10-30 00:00:00-04:00,176.548583137077,178.05638645003708,173.23333607227616,175.63037109375,10252900,0.0,0.0,Visa Inc.,Financial Services
2020-11-02 00:00:00-05:00,178.33665993994518,180.66602971035996,177.73740861660184,178.55897521972656,8057100,0.0,0.0,Visa Inc.,Financial Services
2020-11-03 00:00:00-05:00,180.5790552379374,183.18871585604188,178.96493176396814,182.0385284423828,6467900,0.0,0.0,Visa Inc.,Financial Services
2020-11-04 00:00:00-05:00,186.43628121127534,190.29278900593496,185.12178353362842,187.4801483154297,8102700,0.0,0.0,Visa Inc.,Financial Services
2020-11-05 00:00:00-05:00,191.72328573835895,194.2652961038017,190.6890786435208,191.02737426757812,7132100,0.0,0.0,Visa Inc.,Financial Services
2020-11-06 00:00:00-05:00,190.74705236222766,192.99908204025118,188.89127891145753,191.82957458496094,6180500,0.0,0.0,Visa Inc.,Financial Services
